date,commodity,ticker,price,high_30d,low_30d,volatility,demand,supply
2026-04-12,Rice,RICE,2950,3100,2850,3.2,70,65
2026-04-13,Rice,RICE,2960,3100,2850,3.2,72,63
2026-04-14,Rice,RICE,3000,3100,2850,3.5,75,60
2026-04-15,Rice,RICE,3050,3100,2850,3.8,78,58
2026-04-16,Rice,RICE,3100,3100,2850,4.2,80,55
2026-04-17,Rice,RICE,3150,3150,2850,4.5,82,52
2026-04-18,Rice,RICE,3180,3180,2850,4.7,85,50
2026-04-19,Rice,RICE,3200,3200,2850,4.8,85,48
2026-04-20,Rice,RICE,3220,3220,2850,5.1,88,46
2026-04-21,Rice,RICE,3250,3250,2850,5.4,90,44
2026-04-22,Rice,RICE,3280,3280,2850,5.8,92,42
2026-04-23,Rice,RICE,3300,3300,2850,6.1,93,40
2026-04-24,Rice,RICE,3320,3320,2850,6.3,92,38
2026-04-25,Rice,RICE,3340,3340,2850,6.5,90,36
2026-04-26,Rice,RICE,3360,3360,2850,6.7,88,35
2026-04-27,Rice,RICE,3380,3380,2850,6.9,85,34
2026-04-28,Rice,RICE,3400,3400,2850,7.1,82,33
2026-04-29,Rice,RICE,3420,3420,2850,7.2,80,32
2026-04-30,Rice,RICE,3450,3450,2850,7.4,78,31
2026-05-01,Rice,RICE,3440,3450,2850,7.3,77,31
2026-05-02,Rice,RICE,3430,3450,2850,7.1,76,32
2026-05-03,Rice,RICE,3420,3450,2850,6.9,75,33
2026-05-04,Rice,RICE,3410,3450,2850,6.7,74,34
2026-05-05,Rice,RICE,3400,3450,2850,6.5,73,35
2026-05-06,Rice,RICE,3390,3450,2850,6.3,72,36
2026-05-07,Rice,RICE,3380,3450,2850,6.1,71,37
2026-05-08,Rice,RICE,3370,3450,2850,5.9,70,38
2026-05-09,Rice,RICE,3360,3450,2850,5.7,69,39
2026-05-10,Rice,RICE,3350,3450,2850,5.5,68,40
2026-05-11,Rice,RICE,3340,3450,2850,5.3,67,41
2026-05-12,Rice,RICE,3330,3450,2850,5.1,66,42
2026-04-12,Wheat,WHEAT,2100,2250,2050,2.8,72,68
2026-04-13,Wheat,WHEAT,2110,2250,2050,2.8,73,67
2026-04-14,Wheat,WHEAT,2120,2250,2050,2.9,74,66
2026-04-15,Wheat,WHEAT,2130,2250,2050,3.0,75,65
2026-04-16,Wheat,WHEAT,2140,2250,2050,3.1,76,64
2026-04-17,Wheat,WHEAT,2150,2250,2050,3.2,77,63
2026-04-18,Wheat,WHEAT,2160,2250,2050,3.3,78,62
2026-04-19,Wheat,WHEAT,2170,2250,2050,3.4,79,61
2026-04-20,Wheat,WHEAT,2180,2250,2050,3.5,80,60
2026-04-21,Wheat,WHEAT,2190,2250,2050,3.6,80,59
2026-04-22,Wheat,WHEAT,2200,2250,2050,3.7,80,58
2026-04-23,Wheat,WHEAT,2210,2250,2050,3.8,79,57
2026-04-24,Wheat,WHEAT,2220,2250,2050,3.9,78,56
2026-04-25,Wheat,WHEAT,2230,2250,2050,4.0,77,55
2026-04-26,Wheat,WHEAT,2240,2250,2050,4.0,76,54
2026-04-27,Wheat,WHEAT,2250,2250,2050,4.0,75,53
2026-04-28,Wheat,WHEAT,2240,2250,2050,3.9,74,54
